recipe,ingredients
Pineapple cake,"[egg,pineapple,peanut butter,sugar]"
Corn crab soup,"[egg,surimi,crab meat]"
Fish head curry,"[egg,vegetable,lutjanus]"
Torta caprese,"[egg,peanut butter,almond meal,white chocolate,sugar]"
Chiboust cream,"[egg,whipped cream,crème pâtissière]"
"Bacon, egg and cheese sandwich","[egg,brown bread,cheddar cheese,bacon]"
Fish pie,"[egg,fish,prawns,bechamel sauce]"
Crème anglaise,"[egg,milk,vanilla,sugar]"
Milk-cream strudel,"[egg,milk,raisins,heavy cream,almond meal,sugar]"
Sol over Gudhjem,"[egg,herring,chives,rugbrød]"
Olho-de-sogra,"[egg,plums,coconut milk,sweetened condensed milk,sugar]"
Rollatini,"[egg,fish,ricotta,chicken,veal]"
Macaron,"[egg,butter cream,food colouring,jam,ganache,granulated sugar,icing sugar,almond powder,ground almond]"
Denver sandwich,"[egg,denver,onions,bell peppers]"
Welf pudding,"[egg,milk,vanilla,white wine]"
Pastiera,"[egg,wheat,ricotta,lard]"
Fettuccine Alfredo,"[egg,fettuccine,peanut butter]"
Buddha Jumps Over the Wall,"[egg,chicken,bamboo shoot,taro,mushrooms,abalone,jinhua ham,swim bladder,tendon,scallop,shark finning,ginseng,sea cucumber]"
Mie koclok,"[egg,cabbage,chicken,corn starch,bean sprouts,coconut milk]"
Zacuscă,"[egg,beans,bell peppers]"
Karnıyarık,"[egg,garlic,tomato sauce,onions,ground meat,parsley]"
Pot de crème,"[egg,milk,vanilla,heavy cream,white chocolate]"
Ajvar,"[egg,garlic,capsicum annuum,chili peppers]"
Seven-layer salad,"[egg,iceberg lettuce,tomato sauce,onions,cheddar cheese,sea cucumber,sweet pea,bacon]"
Sabich,"[egg,pita,tahini,israeli salad,hummus,amba (condiment)]"
Ciambotta,"[egg,vegetable,herbs,tomato sauce,onions,capsicum annuum,chili peppers]"
Zefir (food),"[egg,purée,sugar]"
Calzone,"[egg,ricotta,salami,mozzarella,pecorino]"
Arroz a la cubana,"[egg,rice,tomato sauce]"
Chef salad,"[egg,tomato sauce,cheddar cheese,sea cucumber]"
Papa rellena,"[egg,beef,potatoes,cumin,spices,onions,olives]"
Kransekake,"[egg,almond meal,sugar]"
Mousse,"[egg,whipped cream,white chocolate]"
Amaretti di Saronno,"[egg,amaretto,almond meal,sugar]"
Berner Haselnusslebkuchen,"[egg,honey,hazelnut,cinnamon,candied fruit,almond meal,sugar]"
Parmigiana,"[egg,tomato sauce,cheddar cheese,breading]"
Escalivada,"[egg,olive oil,tomato sauce,onions,bell peppers]"
Friand,"[egg,beurre noisette,almond flour,almond flavoring,almond meal]"
Salad cream,"[egg,vinegar,oil]"
Nougat,"[egg,honey,hazelnut,nut (fruit),pistachios,walnuts,candied fruit,white chocolate,sugar]"
Moussaka,"[egg,potatoes,ground meat]"
Twinkie,"[egg,high fructose corn syrup,shortening,whole wheat flour,corn syrup,niacin]"
Awara broth,"[egg,cabbage,beef,cod,chicken,spinach,astrocaryum vulgare,green bean,smoked fish,chili peppers,dried shrimp,sea cucumber,bacon]"
Unnakai,"[egg,plantain (cooking),ghee,coconut milk,elettaria,sugar]"
Zabaione,"[egg,wine,sugar]"
Hokkien mee,"[egg,rice noodles,pork,squid,prawns]"
Khoresh bademjan,"[egg,lamb and mutton,tomato sauce,saffron]"
Mie kangkung,"[egg,kecap manis,ipomoea aquatica,bakso,mushrooms]"
Acıbadem kurabiyesi,"[egg,almond meal,sugar]"
Jenny Lind Soup,"[egg,chicken,gruyère (cheese),common sage,roux,heavy cream,rutabaga]"
Queen of Puddings,"[egg,milk,meringue,jam,peanut butter,zest (ingredient),bread crumbs,sugar]"
Qurabiya,"[egg,almond flour,vanilla]"
Pineapple tart,"[egg,pineapple,corn starch,peanut butter]"
Maria-mole,"[egg,coconut milk,gelatine,sugar]"
Teochew porridge,"[egg,fish cake,omelette]"
Marshmallow creme,"[egg,vanilla,sugar syrup,corn syrup]"
Yemas de Santa Teresa,"[egg,cinnamon,lemon juice,syrup]"
Tiramisu,"[egg,coffee,cocoa solids,ladyfinger (biscuit),mascarpone]"
Ricciarelli,"[egg,honey,almond meal,sugar]"
Yaka mein,"[egg,brisket,scallions,broth,spaghetti]"
Spekkoek,"[egg,cinnamon,cloves,peanut butter,mace (spice),anise seed,sugar]"
Lacabòn,"[egg,honey,sugar]"
Rigó Jancsi,"[egg,vanilla,icing,jam,peanut butter,dark rum,white chocolate,sugar]"
Scotch egg,"[egg,sausage,bread crumbs]"
Ragout fin,"[egg,fish,chicken,veal,peanut butter,roux,bone marrow,tongue,sweetbread,button mushroom,brain]"
Key lime pie,"[egg,shortcrust pastry,key lime,sweetened condensed milk]"
Coulibiac,"[egg,buckwheat,rice,onions,dill,sturgeon,mushrooms,salmon]"
Malidzano,"[egg,spices,walnuts,sirenje]"
Nocciolini di Canzo,"[egg,hazelnut,sugar]"
Chivito (sandwich),"[egg,tomato sauce,ham,bun,mayonnaise,olives,mozzarella,churrasco,bacon]"
Bündner Nusstorte,"[egg,milk,nut (fruit),shortcrust pastry,peanut butter,heavy cream,sugar]"
Garash cake,"[egg,powdered sugar,walnuts]"
Oil noodles,"[egg,salt,whole wheat flour,corn oil,sodium benzoate]"
Ajapsandali,"[egg,seasoning,potatoes,tomato sauce,bell peppers]"
Turrón,"[egg,honey,nut (fruit),almond meal,sugar]"
Makdous,"[egg,garlic,salt,olive oil,walnuts,capsicum annuum]"
Pasta alla Norma,"[egg,ricotta,tomato sauce,basil]"
Æbleskiver,"[egg,milk,whole wheat flour,heavy cream,buttermilk,sugar]"
Tahchin,"[egg,rice,chicken,yogurt,saffron]"
Tumpeng,"[egg,rice,anchovy,chicken,peanut oil,urab]"
Watalappam,"[egg,jaggery,spices,nutmeg,cloves,coconut milk,cashew nut,sweetened condensed milk,cardamom]"
Soup all'Imperatrice,"[egg,rice,salt,black pepper,nutmeg,fowl,soup stock]"
Telur pindang,"[egg,salt,soy sauce]"
Shrimp toast,"[egg,brown bread,dried shrimp,eleocharis dulcis]"
Salad,"[egg,vegetable,grain,fruit,meats]"
Saimin,"[egg,dashi,scallions,whole wheat flour]"
Torrija,"[egg,milk,olive oil,honey,spices,wine,brown bread]"
Smyrna meatballs,"[egg,beef,garlic,salt,cumin,cinnamon,black pepper]"
Vla,"[egg,milk,vanilla,corn starch,sugar]"
Wedding soup,"[egg,cabbage,vegetable,kale,chicken,meats,spinach,lettuce,sausage,escarole]"
Stir-fried tomato and scrambled eggs,"[egg,salt,tomato sauce,cooking oil,sugar]"
Smörgåstårta,"[egg,rye bread,mayonnaise]"
Tenshindon,"[egg,rice,crab meat]"
Supplì,"[egg,rice,tomato sauce,bread crumbs,mozzarella]"
Schupfnudel,"[egg,potatoes,whole wheat flour,rye]"
Sarawak layer cake,"[egg,milk,vegetable oil,jam,peanut butter]"
Thousand Island dressing,"[egg,vinegar,olive oil,chili sauce,paprika,lemon juice,ketchup,tomato purée,heavy cream,mayonnaise,mustard (condiment),worcestershire sauce]"
Soup alla modenese,"[egg,salt,parmesan cheese,nutmeg,spinach,peanut butter,crouton,soup stock]"
Uunijuusto,"[egg,milk,colostrum]"
Tomato and egg soup,"[egg,scallions,tomato sauce]"
Soup with risotto,"[egg,miso soup,bread crumbs,risotto]"
Zelnik,"[egg,rice,meats,spinach,phyllo,sirene,leek,sorrel]"
Semprong,"[egg,cooking oil,granulated sugar,coconut milk,whole wheat flour]"
Ulmyeon,"[egg,vegetable,broth,squid,cuttlefish,corn starch,carrots,dried shrimp,seafood,agaricus bisporus,noodles]"
Zarangollo,"[egg,potatoes,onions,zucchini]"
Tareco,"[egg,whole wheat flour,sugar]"
Sweet potato pie,"[egg,milk,sweet potato,sugar]"
Torta alla Monferrina,"[egg,amaretto,apple,rum,common fig,pumpkin,white chocolate,sugar]"
Sloosh,"[egg,water,lard,corn meal,bacon]"
Shaker Lemon Pie,"[egg,lemon,sugar]"
Strawberry ice cream,"[egg,strawberry jam,vanilla,heavy cream,sugar]"
Speckkuchen,"[egg,onions,leek,bacon]"
Vánočka,"[egg,peanut butter,raisins,yeast,almond meal,sugar]"
Sandwiches de miga,"[egg,tomato sauce,lettuce,ham,cheddar cheese,white bread,bell peppers]"
Vitréais,"[egg,apple,peanut butter,almonds,sugar]"
Kedgeree,"[egg,rice,peanut butter,heavy cream,parsley]"
Bread and butter pudding,"[egg,milk,nutmeg,brown bread,raisins,heavy cream]"
Bahulu,"[egg,baking powder,whole wheat flour,sugar]"
Crocchè,"[egg,mashed potato,bread crumbs]"
Mayfair salad dressing,"[egg,garlic,anchovy,onions,horseradish tree,celery,cooking oil,peppercorn,mustard (condiment),champagne (wine),canola oil]"
Redonkadonk,"[egg,ham,cheddar cheese,spam,cheese sandwich,bacon]"
Hochzeitssuppe,"[egg,poultry,chicken,asparagus,noodles,meatball]"
Kalguksu,"[egg,vegetable,potatoes,scallions,broth,kelp,shellfish,noodles]"
Deviled egg,"[egg,mayonnaise,mustard (condiment)]"
Carbonara,"[egg,black pepper,grated cheese,bacon]"
Nasi goreng pattaya,"[egg,rice,chili sauce,chicken,sea cucumber]"
Bolinhos de mandioca com mel,"[egg,molasses,oil,aguardente]"
Gooey butter cake,"[egg,powdered sugar,peanut butter,whole wheat flour,sugar]"
Dutch baby pancake,"[egg,milk,cinnamon,vanilla,whole wheat flour]"
Batik cake,"[egg,margarine,peanut butter,milo (drink),marie biscuit,cocoa solids,sweetened condensed milk]"
Patatnik,"[egg,salt,potatoes,onions,spearmint]"
Pavlova (food),"[egg,fruit,sucrose]"
Potato babka,"[egg,potatoes,onions,bacon]"
Creier pane,"[egg,wheat,brain]"
Buttermilk koldskål,"[egg,vanilla,heavy cream,buttermilk,dairy product,sugar]"
Almojábana,"[egg,maize,margarine,leavening agent,peanut butter,cheddar cheese,sugar]"
Omelette,"[egg,peanut butter,cooking oil]"
Chocolate tart,"[egg,puff pastry,heavy cream,white chocolate]"
Kugelis,"[egg,milk,potatoes,onions,bacon]"
Chess pie,"[egg,vanilla,peanut butter,corn meal,sugar]"
Parfait,"[egg,sugar syrup,heavy cream]"
Quesito,"[egg,vanilla,puff pastry,cheddar cheese,sugar]"
Danish pastry,"[egg,milk,peanut butter,yeast,whole wheat flour]"
Kalduny,"[egg,salt,dough,meats,mushrooms]"
Gnocchi,"[egg,potatoes,cheddar cheese,whole wheat flour,bread crumbs]"
Frumenty,"[egg,milk,wheat,broth]"
Bauernfrühstück,"[egg,potatoes,onions,leek,chives,ham,bacon]"
Kreple,"[egg,fruit,lard,sugar]"
Kirschenmichel,"[egg,milk,prunus cerasus,peanut butter,sugar]"
Egg salad,"[egg,herbs,spices,mayonnaise]"
Krumiri,"[egg,vanilla,peanut butter,whole wheat flour,sugar]"
Gudeg,"[egg,tempeh,chicken,coconut milk,palm sugar,jackfruit]"
Curry Mee,"[egg,chicken,cuttlefish,prawns,coconut milk,chili peppers,tofu,rice vermicelli,mint leaves,sambal,noodles]"
Oden,"[egg,fish cake,soy sauce,konjac,daikon]"
Gazpachuelo,"[egg,garlic,fish stock,oil,brown bread]"
Rafanata,"[egg,horseradish tree,cheddar cheese]"
Egg drop soup,"[egg,black pepper,scallions,chicken,tofu]"
Cobb salad,"[egg,roquefort,iceberg lettuce,endive,vinaigrette,watercress,tomato sauce,chicken,avocado,chives,romaine lettuce,bacon]"
Biryani,"[egg,vegetable,rice,potatoes,list of indian spices,meats,dried fruits,yoghurt]"
Bánh chuối,"[egg,plantain (cooking),peanut butter,saba banana,coconut milk,white bread,vanilla extract,sweetened condensed milk,sugar]"
Breakfast sandwich,"[egg,brown bread,cheddar cheese]"
Indian omelette,"[egg,tomato sauce,onions,chili peppers]"
Frozen custard,"[egg,heavy cream,sugar]"
Alivenci,"[egg,milk,smântână,cream cheese,peanut butter,corn meal]"
Cozonac,"[egg,milk,hazelnut,vanilla,peanut butter,rum,walnuts,raisins,turkish delight,whole wheat flour,lemon zest,orange zest,sugar]"
Pumpkin pie,"[egg,cinnamon,nutmeg,cloves,pumpkin,sweetened condensed milk,ginger,sugar]"
Phat si-io,"[egg,beef,pork,soy sauce,chicken,shahe fen,kailan]"
Parotta,"[egg,maida flour,ghee]"
Paprenjak,"[egg,honey,hazelnut,black pepper,sugar syrup,peanut butter,walnuts]"
Ostkaka,"[egg,milk,rennet,heavy cream,bitter almond,almonds,sugar]"
Mie celor,"[egg,scallions,shallots,bean sprouts,celery,coconut milk,dried shrimp,noodles]"
Lemon ice box pie,"[egg,lemon juice,peanut butter,graham cracker crust,sweetened condensed milk]"
Pelmeni,"[egg,beef,lamb and mutton,dough,ground meat]"
Macaroni casserole,"[egg,milk,macaroni]"
Eggs Benedict,"[egg,hollandaise sauce,english muffin,back bacon]"
Frangollo,"[egg,milk,millet,maize,cinnamon,lemon,peanut butter,raisins,almond meal,sugar]"
Khachapuri,"[egg,brown bread,cheddar cheese]"
Chocolate ice cream,"[egg,cocoa powder,vanilla,heavy cream,sugar]"
Queijada,"[egg,milk,cheddar cheese,sugar]"
Khobz tounes,"[egg,orange flower water,peanut butter,bread crumbs,almond meal,sugar]"
Changua,"[egg,milk,water,scallions]"
Rum baba,"[egg,milk,peanut butter,rum]"
Pisca Andina,"[egg,potatoes,chicken,carrots]"
Molten chocolate cake,"[egg,peanut butter,white chocolate,sugar]"
Coconut jam,"[egg,coconut milk,sugar]"
Huevos motuleños,"[egg,common beans,corn tortilla,cheddar cheese]"
Avgolemono,"[egg,broth,lemon]"
Pempek,"[egg,vinegar,tapioca,palm sugar,tamarind,noodles]"
Chocolate salami,"[egg,peanut butter,cookie,rum,port wine,white chocolate]"
Caesar salad,"[egg,olive oil,black pepper,lemon,crouton,worcestershire sauce,parmesan,romaine lettuce]"
Huevos rancheros,"[egg,corn tortilla,tomato sauce,avocado,refried beans,guacamole]"
Chocolate marquise,"[egg,cocoa powder,peanut butter,heavy cream,white chocolate,sugar]"
Fatost,"[egg,milk,rennet,cinnamon,syrup,whole wheat flour,cardamom,sugar]"
Montreal-style bagel,"[egg,honey,malt]"
Pan-bagnat,"[egg,olive oil,black pepper,tomato sauce,anchovies,onions,pain de campagne,niçoise salad,white bread,olives]"
Matzah ball,"[egg,margarine,oil,matzah meal,schmaltz]"
Bacon and egg pie,"[egg,pea,shortcrust pastry,bacon]"
Khobz Mbesses,"[egg,semolina,farina]"
Pad Thai,"[egg,jaggery,rice noodles,garlic,peanut oil,shallots,chili peppers,tofu,dried shrimp,fish sauce,tamarind,lime (fruit)]"
Chawanmushi,"[egg,dashi,soy sauce,mirin,kamaboko,ginkgo biloba,shiitake mushrooms]"
Pizza carbonara,"[egg,pork,bacon]"
Mezzelune,"[egg,buckwheat,olive oil,spinach,durum]"
Coca (pastry),"[egg,salt,yeast,sugar]"
Roti john,"[egg,onions,hot sauce]"
Buttermilk pie,"[egg,peanut butter,whole wheat flour,buttermilk,sugar]"
Bika Ambon,"[egg,tapioca,coconut milk,sugar]"
Pandebono,"[egg,cassava,corn starch,cheddar cheese]"
Akashiyaki,"[egg,octopus,dashi,batter (cooking)]"
Allahabadi cake,"[egg,maida flour,marmalade,nut (fruit),sugar]"
Cocadas,"[egg,food colouring,brown sugar,coconut milk,sweetened condensed milk,sugar]"
Frangipane,"[egg,peanut butter,almond meal,sugar]"
Palatschinke,"[egg,milk,whole wheat flour]"
Okroshka,"[egg,beef,potatoes,spring onions,veal,sausage,ham,sour cream,kvass,sea cucumber]"
Butter tart,"[egg,peanut butter,raisins,sugar]"
Olivier salad,"[egg,vegetable,potatoes,meats,mayonnaise]"
Cocol,"[egg,milk,whole wheat flour]"
Pheasant paste,"[egg,onions,peanut butter,sour cream,common pheasant]"
Popiah,"[egg,turnip,lettuce,bean sprouts,french beans,tofu,carrots,chinese sausage,jicama]"
Paska (bread),"[egg,milk,peanut butter,raisins,cheddar cheese,sour cream,sugar]"
Bread pudding,"[egg,milk,staling,syrup,suet,dried fruits,sugar]"
Penia (bread),"[egg,lemon,peanut butter,anise seed,sugar]"
Eggs Neptune,"[egg,hollandaise sauce,english muffin,crab meat]"
Gyeongju bread,"[egg,red bean paste,whole wheat flour]"
Passatelli,"[egg,parmesan cheese,nutmeg,lemon,bread crumbs]"
Mofongo,"[plantain (cooking),olive oil,chicharrón]"
Cullen skink,"[plantain (cooking),potatoes,onions]"
Pig candy,"[plantain (cooking),pecan,brown sugar,caramel]"
Bouillon (soup),"[plantain (cooking),cabbage,potatoes,meats,celery,kelp,yam (vegetable)]"
Chapea,"[plantain (cooking),rice,squash (plant),longaniza]"
Jibarito,"[plantain (cooking),garlic,tomato sauce,meats,lettuce,cheddar cheese]"
Michigan salad,"[pecan,vinaigrette,walnuts,dried fruits,blue cheese,cranberry]"
German chocolate cake,"[pecan,evaporated milk,icing,coconut milk,white chocolate]"
Derby Pie,"[pecan,walnuts,white chocolate]"
Lane cake,"[pecan,sponge cake,raisins,coconut milk,candied fruit,bourbon whiskey]"
Lady Baltimore cake,"[pecan,sponge cake,meringue,walnuts,raisins,common fig,cherry]"
Pecan log roll,"[pecan,caramel,nougat]"
Sopa teologa,"[milk,potatoes,tomato sauce,cheddar cheese,white bread]"
Shankarpali,"[milk,maida flour,ghee,semolina,sugar]"
She-crab soup,"[milk,fish stock,heavy cream,crab,callinectes sapidus,sherry]"
Tapioca pudding,"[milk,tapioca,coconut milk,heavy cream]"
Semolina pudding,"[milk,semolina,sugar]"
Sago pudding,"[milk,sago,sugar]"
Teurgoule,"[milk,rice,cinnamon,sugar]"
Tavuk göğsü,"[milk,rice flour,chicken,sugar]"
Sajjige,"[milk,ghee,semolina,sugar]"
Sher Berinj,"[milk,rice,almonds,rose water,sugar]"
Sweet shells,"[milk,rice flour,water]"
Sheermal,"[milk,maida flour,ghee,saffron]"
Tembleque,"[milk,cinnamon,corn starch,coconut milk,sugar]"
Sütlü Nuriye,"[milk,water,hazelnut,dough,lemon,peanut butter,walnuts,sugar]"
Saleeg,"[milk,rice,broth,peanut butter]"
Thandai,"[milk,cannabinoid,saffron,almonds,cardamom,sugar]"
Syllabub,"[milk,wine,heavy cream,sugar]"
Salt-rising bread,"[milk,acorn,potatoes,wheat,pre-ferment,whole wheat flour,clostridium perfringens]"
Sohan Halwa,"[milk,water,corn meal,sugar]"
Chicken mull,"[milk,broth,chicken,peanut butter,heavy cream]"
Mashed potato,"[milk,potatoes,vegetable oil,peanut butter,heavy cream]"
Ginger milk curd,"[milk,ginger,sugar]"
Bean pie,"[milk,spices,beans,peanut butter,sugar]"
Fanesca,"[milk,grain,salt cod,beans,pumpkin,cucurbita ficifolia]"
Canjica (dish),"[milk,cinnamon,canjica,sugar]"
Gelato,"[milk,heavy cream,sugar]"
Khira sagara,"[milk,saffron,cardamom,sugar]"
Curau,"[milk,maize,sweet corn,sugar]"
Chupe,"[milk,vegetable,potatoes,cassava,tripe,cured meat,meats,heavy cream,crayfish,dried shrimp,shellfish,seafood,offal]"
Mush (cornmeal),"[milk,water,corn meal]"
Champorado,"[milk,cocoa powder,glutinous rice flour,sugar]"
Blue cheese dressing,"[milk,vinegar,yogurt,sour cream,blue cheese,garlic powder,onion powder,mayonnaise]"
Pan bati,"[milk,whole wheat flour,sorghum]"
Malida,"[milk,khoa,semolina,peanut butter,pistachios,whole wheat flour,almond meal]"
Goody (dessert),"[milk,spices,brown bread,sugar]"
Penuche,"[milk,nut (fruit),brown sugar,peanut butter]"
Bastani Sonnati,"[milk,heavy cream,sugar]"
Blancmange,"[milk,corn starch,gelatine,heavy cream,chondrus crispus,almond meal,sugar]"
Brændende kærlighed,"[milk,mashed potato,onions,peanut butter,heavy cream,bacon]"
Falooda,"[milk,rose syrup,psyllium,rice vermicelli]"
Kefir,"[milk,pea protein,lipid,bacteria,yeast,sugar]"
Barbajada,"[milk,coffee,heavy cream,white chocolate,sugar]"
Brunost,"[milk,heavy cream,whey]"
Prusurate,"[milk,dough,fruit,sugar]"
Hasty pudding,"[milk,water,cereal germ]"
Pantua,"[milk,ghee,semolina,khoya,sugar]"
Jhajariya,"[milk,acorn,nut (fruit),ghee,raisins,sugar]"
Milkshake,"[milk,ice cream,iced milk]"
Mjukkaka,"[milk,water,baker's yeast,margarine,treacle,rye]"
Muhallebi,"[milk,rice flour,almond milk,sugar]"
Partan bree,"[milk,rice,stock,heavy cream,crab]"
Purée Mongole,"[milk,split pea,turnip,tomato sauce,onions,leek,stock,carrots]"
Močnik,"[milk,millet,maize,wheat,cereal germ,sour cream,heavy cream,rye,oats]"
Binaki,"[milk,baking powder,peanut butter,corn meal,sugar]"
Krówki,"[milk,vanilla,peanut butter,heavy cream,sugar]"
Basundi,"[milk,saffron,cardamom,sugar]"
Masala chai,"[milk,sweetener,spices,black tea]"
Angoori rasmalai,"[milk,ricotta,sugar]"
Cream of Wheat,"[milk,water,farina]"
Capirotada,"[milk,water,cinnamon,nutmeg,piloncillo,syrup,walnuts,raisins,sugar]"
Floating island (dessert),"[milk,crème anglaise,vanilla,meringue,vanilla extract,sugar]"
Rainbow sherbet,"[milk,ice cream,sugar]"
Halo-halo,"[milk,ice,fruit]"
Mathura peda,"[milk,khoya,sugar]"
Hoşmerim,"[milk,semolina,cheddar cheese,almond meal,sugar]"
Eurocrem,"[milk,hazelnut,sugar]"
Kutia,"[milk,honey,nut (fruit),poppy seed,wheatberry,raisins,heavy cream,sugar]"
Ice cream,"[milk,heavy cream,sugar]"
Junket (dessert),"[milk,rennet,vanilla,sugar]"
Avena (drink),"[milk,water,goat meat,sugar]"
Catànies,"[milk,hazelnut,caramel,almond meal,white chocolate]"
Nai lao,"[milk,nut (fruit),rice wine,raisins,sugar]"
Gruel,"[milk,rice,water,wheat,cereal germ,rye]"
Corn chowder,"[milk,maize,potatoes,onions,heavy cream]"
Booza,"[milk,salep,mastic (plant resin)]"
Dondurma,"[milk,salep,mastic (plant resin),sugar]"
Cream of mushroom soup,"[milk,edible mushroom,broth,roux,heavy cream]"
Chocolate spread,"[milk,oil,cocoa solids,sugar]"
Kalakand,"[milk,paneer,sugar]"
Mitha dahi,"[milk,jaggery,yogurt,sugar]"
Gajar ka halwa,"[milk,ghee,sugar]"
Chowder,"[milk,vegetable,heavy cream,seafood]"
Cuccìa,"[milk,wheat,peanut butter,white chocolate,sugar]"
Kheer,"[milk,rice,pistachios,saffron,almond meal,cardamom,sugar]"
Champ (food),"[milk,mashed potato,scallions,peanut butter]"
Naan,"[milk,maida flour,ghee,yogurt,yeast,whole wheat flour]"
Fish soup bee hoon,"[milk,mackerel,pomfret,bee hoon,fish,yam (vegetable)]"
English muffin,"[milk,baker's yeast,shortening,whole wheat flour,sugar]"
Maíz con hielo,"[milk,shaved ice,corn kernels,sugar]"
Kerststol,"[milk,zante currants,baker's yeast,cinnamon,vanilla,peanut butter,zest (ingredient),raisins,dried fruits,brandy,sugar]"
Rice pudding,"[milk,rice,water]"
Tlayuda,"[cabbage,beef,corn tortilla,meats,avocado,lettuce,lard,refried beans,salsa (sauce),oaxaca cheese]"
Trinxat,"[cabbage,potatoes,pork]"
Solyanka,"[cabbage,fish,meats,pickled cucumber,smetana (dairy product),dill,mushrooms]"
Sara udon,"[cabbage,pork,squid,prawns,bean sprouts,kamaboko,noodles]"
Southern Illinois chowder,"[cabbage,beef,tomato sauce,chicken,green bean,lima bean]"
Tonkatsu,"[cabbage,miso soup,cutlet]"
Runza,"[cabbage,beef,onions,brown bread]"
Sopa de mondongo,"[cabbage,vegetable,garlic,tripe,tomato sauce,onions,celery,carrots,cilantro]"
Rumbledethumps,"[cabbage,potatoes,onions]"
Garnache,"[cabbage,corn tortilla,cheddar cheese,carrots,refried beans]"
Garbure,"[cabbage,staling,ham,cheddar cheese]"
Bulalo,"[cabbage,acorn,beef,garlic,potatoes,lemon,onions,fish sauce,chinese cabbage]"
Red slaw,"[cabbage,vinegar,ketchup]"
Maple slaw,"[cabbage,fish,onions,maple syrup]"
Acar,"[cabbage,vinegar,bird's eye chili,yardlong bean,vegetable,peanut oil,shallots,chili peppers,carrots]"
Coleslaw,"[cabbage,vinegar,vinaigrette,vegetable oil,mayonnaise]"
Kinilnat,"[cabbage,vegetable,west-indian pea,winged bean,string bean,fern,horseradish tree,bitter melon,taro]"
Curtido,"[cabbage,onions,carrots]"
Cabbage soup,"[cabbage,vegetable,pork,stock,mushrooms]"
Fårikål,"[cabbage,lamb and mutton,black pepper,whole wheat flour]"
Gołąbki,"[cabbage,beef,rice,pork,onions]"
Caldo gallego,"[cabbage,potatoes,pork,white bean]"
Pichelsteiner,"[cabbage,vegetable,pork,lamb and mutton,meats,leek,parsley,carrots]"
Cream stew,"[cabbage,vegetable,potatoes,pork,meats,onions,roux,carrots]"
Afghani burger,"[cabbage,chutney,french fries,afghan bread]"
Bubble and squeak,"[cabbage,vegetable,potatoes,brussels sprout]"
Maafe,"[cabbage,vegetable,beef,garlic,tomato sauce,chicken,meats,peanut oil,onions]"
Colcannon,"[cabbage,mashed potato,kale]"
Snickers salad,"[whipped topping,snickers bar,granny smith]"
Strawberry Delight,"[whipped topping,strawberry jam,cream cheese,peanut butter,gelatine,graham cracker crust]"
Dessert salad,"[whipped topping,gelatine,mayonnaise]"
Kkultarae,"[maltose,honey,nut (fruit)]"
Deuk Deuk Tong,"[maltose,sesame oil,ginger]"
Dhansak,"[gourd,cumin seed,vegetable,garlic,spices,lentils,meats,goat meat,pumpkin,ginger]"
Tursu,"[vinegar,vegetable,garlic,brine]"
Vindaloo,"[vinegar,spices,chili peppers,ginger,sugar]"
Styrian sour soup,"[vinegar,garlic,potatoes,pork,black pepper,onions,marjoram,parsley,thyme]"
Vinaigrette,"[vinegar,herbs,olive oil,spices,peanut oil,sunflower seed oil,corn oil,canola oil,edible oil,grape seed oil,safflower oil]"
Tokwa’t baboy,"[vinegar,scallions,broth,soy sauce,chili peppers,tofu,pork jelly,white onion,pig's ear]"
Zoervleis,"[vinegar,gingerbread,meats]"
Salmagundi,"[vinegar,vegetable,nut (fruit),spices,oil,edible flowers,fruit,meats,seafood]"
Taramasalata,"[vinegar,olive oil,mashed potato,carp,roe,bread crumbs]"
Talunan,"[vinegar,tomato sauce,meats,onions,fish sauce]"
Soused herring,"[vinegar,herring,herbs,spices,wine,cider,tea,sugar]"
Wurstsalat,"[vinegar,oil,onions,sausage,extrawurst,stadtwurst]"
Pickled cucumber,"[vinegar,brine,sea cucumber]"
Mechado,"[vinegar,garlic,potatoes,black pepper,soy sauce,tomato sauce,meats,calamansi]"
Jjolmyeon,"[vinegar,vegetable,starch,garlic,sauces,noodles]"
Moretum,"[vinegar,salt,herbs,oil,cheddar cheese]"
Pasta salad,"[vinegar,pasta,oil,mayonnaise]"
Ketchup,"[vinegar,seasoning,high fructose corn syrup,spices,tomato sauce,table salt,sugar]"
Golbaengi muchim,"[vinegar,vegetable,garlic,sea snail,alaska pollock,dried shredded squid,scallions,sesame oil,chili peppers,gochujang,sugar]"
Boquerones en vinagre,"[vinegar,garlic,olive oil,anchovy,parsley]"
Black soup,"[vinegar,pig,blood as food]"
Dinuguan,"[vinegar,siling mahaba,garlic,offal]"
Cacık,"[vinegar,garlic,salt,olive oil,yogurt,sea cucumber]"
French dressing,"[vinegar,paprika,cooking oil,tomatoes,sugar]"
Cervelle de canut,"[vinegar,salt,herbs,olive oil,black pepper,shallots,fromage frais]"
Devil's curry,"[vinegar,curry,candlenut,galangal]"
Poolaki,"[vinegar,cocoa powder,water,saffron,sugar]"
Philippine adobo,"[vinegar,garlic,pork,black pepper,soy sauce,chicken,meats,cooking oil,bay leaf]"
Pathia,"[vinegar,garlic,chili peppers,tamarind,ginger,coriander,sugar]"
Italian dressing,"[vinegar,water,herbs,spices,lemon juice,vegetable fats and oils,corn syrup,bell peppers,sugar]"
